DEPTH,DTCO,ECGR,HART,PEFZ,RHOZ,TNPH,Gelogical layer
2775.509,86.196,40.2,1.652,4.51,2.501,0.152,7
2775.661,89.626,45.007,1.591,4.465,2.504,0.156,7
2775.814,90.69,47.649,1.377,4.442,2.506,0.171,7
2775.966,91.966,49.455,1.211,4.446,2.515,0.179,7
2776.118,93.199,43.917,1.039,4.49,2.532,0.179,7
2776.271,93.266,45.211,1.211,4.462,2.554,0.173,7
2776.423,92.122,47.565,1.122,4.429,2.545,0.177,7
2776.576,96.292,49.902,1.093,4.356,2.519,0.183,7
2776.728,96.253,50.849,1.044,4.297,2.488,0.185,7
2776.88,97.421,51.701,1.004,4.163,2.484,0.193,7
2777.033,97.032,53.612,0.989,4.087,2.482,0.199,7
2777.185,97.508,53.184,1.035,4.076,2.481,0.189,7
2777.338,95.895,53.685,1.143,4.165,2.473,0.18,7
2777.49,94.242,50.604,1.092,4.24,2.469,0.196,7
2777.642,92.453,51.651,1.199,4.312,2.464,0.195,7
2777.795,92.366,51.567,1.255,4.354,2.467,0.188,7
2777.947,91.847,50.107,1.42,4.341,2.481,0.181,7
2778.1,92.638,51.652,1.248,4.302,2.49,0.181,7
2778.252,92.315,53.981,1.068,4.256,2.489,0.185,7
2778.404,94.97,54.031,1.06,4.247,2.48,0.183,7
2778.557,95.024,53.64,1.111,4.237,2.482,0.185,7
2778.709,94.063,53.576,1.17,4.223,2.492,0.191,7
2778.862,94.422,51.283,1.005,4.269,2.491,0.199,7
2779.014,93.395,47.961,1.096,4.351,2.484,0.187,7
2779.166,93.108,46.755,1.222,4.456,2.475,0.18,7
2779.319,93.307,49.54,1.256,4.534,2.479,0.179,7
2779.471,93.45,52.853,1.219,4.602,2.487,0.183,7
2779.624,94.601,54.565,1.122,4.67,2.491,0.184,7
2779.776,94.972,55.568,1.06,4.741,2.491,0.188,7
2779.928,95.524,53.617,1.014,4.792,2.491,0.204,7
2780.081,94.561,51.148,1.161,4.812,2.497,0.208,7
2780.233,94.409,49.716,1.066,4.798,2.51,0.202,7
2780.386,92.687,47.746,1.137,4.792,2.518,0.186,7
2780.538,93.122,46.564,1.186,4.827,2.516,0.171,7
2780.69,92.214,45.738,1.367,4.882,2.513,0.161,7
2780.843,92.184,48.296,1.213,4.917,2.513,0.166,7
2780.995,93.172,54.244,1.107,4.916,2.516,0.177,7
2781.148,93.308,54.14,1.097,4.905,2.516,0.174,7
2781.3,93.675,51.161,1.203,4.928,2.514,0.173,7
2781.452,93.293,45.762,1.31,4.955,2.515,0.172,7
2781.605,92.485,44.641,1.302,4.969,2.516,0.178,7
2781.757,91.887,46.464,1.349,4.963,2.51,0.182,7
2781.91,91.764,49.244,1.223,4.94,2.501,0.183,7
2782.062,93.382,50.349,1.175,4.951,2.49,0.179,7
2782.214,92.117,51.849,1.13,4.949,2.49,0.18,7
2782.367,93.736,52.816,1.12,4.945,2.496,0.183,7
2782.519,93.594,52.585,1.081,4.925,2.504,0.19,7
2782.672,94.452,52.059,1.031,4.932,2.504,0.187,7
2782.824,94.369,49.718,1.045,4.969,2.5,0.179,7
2782.976,96.552,51.554,1.089,5,2.498,0.171,7
2783.129,95.485,51.053,1.171,4.983,2.503,0.17,7
2783.281,95.966,52.69,1.099,4.968,2.506,0.181,7
2783.434,92.544,54.753,1.053,4.971,2.501,0.19,7
2783.586,92.926,54.049,0.996,4.974,2.499,0.193,7
2783.738,95.511,52.162,1.057,4.972,2.501,0.19,7
2783.891,96.013,53.019,1.174,4.974,2.501,0.185,7
2784.043,96.361,56.898,1.061,4.977,2.495,0.2,7
2784.196,99.028,59.805,0.951,4.893,2.5,0.207,7
2784.348,99.972,56.63,0.907,4.804,2.506,0.21,7
2784.5,100.652,57.949,0.999,4.746,2.514,0.198,7
2784.653,100.161,58.723,1.052,4.752,2.513,0.191,7
2784.805,100.325,57.732,0.967,4.773,2.507,0.212,7
2784.958,100.371,52.4,0.966,4.82,2.494,0.215,7
2785.11,101.008,51.471,1.002,4.868,2.484,0.207,7
2785.262,100.231,52.438,1.087,4.876,2.482,0.195,7
2785.415,103.708,54.636,1.054,4.848,2.484,0.198,7
2785.567,102.909,59.741,1.027,4.821,2.48,0.215,7
2785.72,105.879,62.07,0.912,4.815,2.471,0.237,7
2785.872,106.868,64.83,0.859,4.817,2.46,0.246,7
2786.024,110.404,64.531,0.776,4.793,2.452,0.257,7
2786.177,111.085,68.781,0.763,4.722,2.448,0.26,7
2786.329,110.472,68.278,0.694,4.664,2.441,0.275,7
2786.482,111.688,68.109,0.712,4.646,2.432,0.266,7
2786.634,110.572,65.091,0.709,4.658,2.423,0.266,7
2786.786,109.785,65.69,0.692,4.618,2.421,0.266,7
2786.939,108.593,66.215,0.716,4.564,2.425,0.263,7
2787.091,108.575,66.727,0.767,4.549,2.433,0.257,7
2787.244,105.914,65.219,0.809,4.599,2.44,0.243,7
2787.396,106.065,63.858,0.79,4.675,2.439,0.251,7
2787.548,107.186,62.302,0.724,4.714,2.437,0.238,7
2787.701,107.529,62.02,0.772,4.751,2.434,0.23,7
2787.853,106.258,60.591,0.822,4.761,2.443,0.226,7
2788.006,106.346,60.45,0.842,4.758,2.456,0.226,7
2788.158,106.02,61.856,0.881,4.736,2.469,0.23,7
2788.31,105.518,62.807,0.88,4.742,2.476,0.241,7
2788.463,105.896,63.57,0.871,4.779,2.474,0.244,7
2788.615,104.903,64.487,0.796,4.803,2.47,0.23,7
2788.768,105.033,62.735,0.806,4.81,2.469,0.218,7
2788.92,104.611,61.878,0.885,4.811,2.476,0.216,7
2789.072,104.241,62.403,0.908,4.83,2.482,0.219,7
2789.225,105.252,61.961,0.854,4.896,2.475,0.227,7
2789.377,104.773,62.254,0.792,4.938,2.468,0.233,7
2789.53,103.901,64.31,0.813,4.953,2.463,0.251,7
2789.682,102.412,66.557,0.761,4.934,2.464,0.253,7
2789.834,99.623,63.404,0.719,4.933,2.461,0.219,7
2789.987,98.867,57.16,0.814,4.934,2.469,0.194,7
2790.139,97.951,52.954,1.121,4.907,2.491,0.168,7
2790.292,98.219,53.158,1.342,4.907,2.506,0.184,7
2790.444,100.258,60.919,0.988,4.95,2.501,0.196,7
2790.596,101.164,62.226,0.806,5.024,2.485,0.208,7
2790.749,100.069,60.711,0.831,5.058,2.482,0.216,7
2790.901,98.095,56.341,0.913,5.024,2.495,0.209,7
2791.054,94.751,50.948,1.042,4.969,2.508,0.187,7
2791.206,91.343,46.158,1.32,4.935,2.514,0.167,7
2791.358,95.06,50.252,1.741,4.945,2.509,0.165,7
2791.511,96.286,52.795,1.377,4.952,2.501,0.198,7
2791.663,99.304,56.378,0.885,4.951,2.496,0.211,7
2791.816,102.399,56.722,0.828,4.97,2.492,0.211,7
2791.968,101.468,56.799,0.987,4.999,2.49,0.205,7
2792.12,99.637,60.146,0.965,5.019,2.487,0.2,7
2792.273,99.944,57.86,0.831,4.993,2.489,0.192,7
2792.425,99.225,54.336,1.041,4.971,2.496,0.177,7
2792.578,97.549,53.486,1.37,4.971,2.505,0.184,7
2792.73,96.856,55.341,1.192,5.042,2.498,0.199,7
2792.882,96.32,57.737,0.891,5.104,2.487,0.217,7
2793.035,95.87,60.013,0.861,5.129,2.486,0.258,7
2793.187,101.641,55.425,1.049,5.057,2.504,0.243,7
2793.34,103.555,58.898,1.051,4.958,2.513,0.241,7
2793.492,103.605,62.491,0.802,4.889,2.497,0.263,7
2793.644,111.033,64.347,0.692,4.877,2.469,0.283,7
2793.797,113.363,64.524,0.705,4.88,2.453,0.281,7
2793.949,110.797,67.464,0.706,4.891,2.443,0.267,7
2794.102,111.623,68.743,0.635,4.892,2.438,0.271,7
2794.254,111.855,68.6,0.647,4.891,2.439,0.269,7
2794.406,111.539,66.93,0.749,4.893,2.45,0.269,7
2794.559,110.994,64.939,0.721,4.914,2.458,0.272,7
2794.711,104.226,61.532,0.741,4.949,2.463,0.264,7
2794.864,103.056,54.135,1.034,4.972,2.476,0.249,7
2795.016,101.04,54.533,1.059,4.985,2.493,0.225,7
2795.168,101.204,59.755,0.813,5.001,2.493,0.237,7
2795.321,101.887,62.199,0.661,4.978,2.477,0.253,7
2795.473,102.437,61.993,0.798,4.903,2.469,0.253,7
2795.626,102.084,59.613,1.081,4.818,2.49,0.221,7
2795.778,99.287,57.569,1.039,4.791,2.517,0.189,7
2795.93,99.951,57.138,0.98,4.829,2.53,0.205,7
2796.083,101.471,59.427,0.996,4.896,2.524,0.207,7
2796.235,102.792,61.508,0.956,4.95,2.514,0.227,7
2796.388,102.581,65.497,0.734,4.988,2.499,0.257,7
2796.54,102.061,66.497,0.74,5.009,2.48,0.282,7
2796.692,101.021,57.135,1.002,5.029,2.472,0.24,7
2796.845,100.34,53.225,1.276,5.023,2.489,0.2,7
2796.997,99.228,52.614,1.224,4.982,2.519,0.201,7
2797.15,99.004,59.117,0.985,4.927,2.533,0.212,7
2797.302,100.772,61.503,0.927,4.935,2.524,0.231,7
2797.454,104.851,63.536,0.968,4.985,2.507,0.241,7
2797.607,102.888,66.444,0.941,5.009,2.499,0.231,7
2797.759,101.497,67.046,0.809,4.963,2.496,0.227,7
2797.912,100.476,63.972,0.786,4.911,2.492,0.213,7
2798.064,100.432,62.213,0.909,4.933,2.491,0.196,7
2798.216,99.879,60.847,1.305,5.007,2.498,0.182,7
2798.369,97.606,60.975,1.104,5.077,2.503,0.201,7
2798.521,98.532,63.444,0.903,5.079,2.502,0.221,7
2798.674,98.876,62.068,0.985,5.069,2.497,0.223,7
2798.826,98.973,60.058,1.213,5.073,2.498,0.22,7
2798.978,99.64,60.425,1.205,5.074,2.505,0.221,7
2799.131,100.77,61.706,1.068,5.033,2.51,0.219,7
2799.283,102.585,63.519,0.987,4.973,2.509,0.223,7
2799.436,104.948,66.773,0.968,4.971,2.498,0.237,7
2799.588,105.984,67.762,0.965,5.006,2.485,0.25,7
2799.74,105.847,68.79,0.88,5.035,2.469,0.273,7
2799.893,105.03,70.265,0.771,5.002,2.458,0.278,7
2800.045,106.671,68.899,0.785,4.953,2.455,0.276,7
2800.198,108.988,68.968,0.932,4.938,2.463,0.26,7
2800.35,110.64,74.738,0.991,4.933,2.469,0.254,7
2800.502,112.06,79.387,0.911,4.88,2.453,0.262,7
2800.655,113.635,81.925,0.699,4.697,2.429,0.283,7
2800.807,115.26,81.647,0.64,4.499,2.416,0.297,7
2800.96,116.04,83.091,0.715,4.4,2.426,0.283,7
2801.112,115.478,83.109,0.762,4.46,2.435,0.298,7
2801.264,114.886,84.152,0.712,4.545,2.433,0.325,7
2801.417,113.399,86.113,0.645,4.563,2.425,0.332,7
2801.569,115.254,85.935,0.631,4.55,2.418,0.332,7
2801.722,115.877,81.556,0.675,4.535,2.42,0.326,7
2801.874,116.308,80.135,0.721,4.49,2.429,0.3,7
2802.026,115.471,79.101,0.735,4.405,2.431,0.308,7
2802.179,112.582,80.312,0.703,4.25,2.432,0.318,7
2802.331,112.287,78.582,0.688,4.175,2.426,0.303,7
2802.484,112.048,75.638,0.757,4.185,2.433,0.282,7
2802.636,110.781,76.243,0.792,4.298,2.443,0.259,7
2802.788,105.884,75.066,0.742,4.401,2.448,0.267,7
2802.941,105.752,73.702,0.721,4.443,2.448,0.269,7
2803.093,106.061,71.217,0.813,4.466,2.447,0.241,7
2803.246,106.42,70.636,0.979,4.501,2.456,0.24,7
2803.398,107.903,73.08,0.924,4.513,2.466,0.243,7
2803.55,110.353,75.784,0.775,4.489,2.466,0.258,7
2803.703,111.397,77.036,0.73,4.438,2.455,0.265,7
2803.855,111.736,76.236,0.741,4.377,2.45,0.26,7
2804.008,110.289,76.123,0.755,4.323,2.459,0.261,7
2804.16,104.742,70.124,0.771,4.288,2.472,0.247,7
2804.312,103.366,64.377,0.782,4.304,2.486,0.234,7
2804.465,104.326,61.263,0.943,4.373,2.494,0.218,7
2804.617,104.145,61.63,1.075,4.456,2.502,0.226,7
2804.77,104.057,69.105,0.95,4.525,2.495,0.244,7
2804.922,104.614,73.536,0.784,4.58,2.475,0.285,7
2805.074,105.999,75.48,0.693,4.627,2.453,0.277,7
2805.227,108.145,74.222,0.728,4.641,2.446,0.254,7
2805.379,110.945,71.703,0.82,4.648,2.45,0.249,7
2805.532,111.619,71.431,0.779,4.65,2.454,0.269,7
2805.684,112.658,72.933,0.732,4.656,2.45,0.281,7
2805.836,113.225,75.607,0.699,4.635,2.451,0.289,7
